entity_id;pattern;category_rule_based;category;trigger
RD1951_465_472;Differentiatie tussen … en ENT is ook niet mogelijk;speculation;speculation;
RD1951_528_533;Geen […], #Name# ENT;sentence splitting;punctuation;
RD1951_552_557;Geen […], #Name# […] of ENT;sentence splitting;punctuation;
RD2006_356_365;ENT is niet aangetoond;missing direction;other;niet
RD2245_197_206;zodat voor een ENT […] geen sprake lijkt;missing direction;other;geen
RD2342_0_7;ENT -;missing trigger;minus;-
RD2421_33_40;geen sprake van een #Name# ENT;sentence splitting;punctuation;
SP1152_26_34;ENT bo-been re: gda;missing trigger;uncommon negation;gda
SP1163_44_51;nulli ENT;missing trigger;uncommon negation;nulli
SP1164_179_186;ENT: ;annotation error - entity is (in) heading;annotation error;
SP1188_26_31;ENT;annotation error - entity is (in) heading;annotation error;
SP1188_206_214;pleiten tegen de ENT;missing trigger;uncommon negation;pleiten tegen
SP1198_13_24;ENT konniet [sic] aangetoond worden;spelling error;other;
SP1200_110_115;ENT;annotation error - entity is (in) heading;annotation error;
SP1207_63_71;onmogelijk om ENT te krijgen;missing trigger;uncommon negation;onmogelijk
SP1222_49_54;ENT niet;missing direction;other;niet
SP1239_17_26;ENT;annotation error - entity is (in) heading;annotation error;
SP1239_37_48;ENT […] negatief;missing variation;uncommon negation;negatief
SP1273_161_170;ENT neg;missing variation;uncommon negation;negatief
SP1301_17_22;ENT;annotation error - entity is (in) heading;annotation error;
SP1302_23_47;ENT is niet aan de orde;missing direction;other;niet
SP1314_265_270;ENT;annotation error - entity is (in) heading;annotation error;
SP1314_414_422;pleiten tegen de ENT;missing trigger;uncommon negation;pleiten tegen
SP1317_10_18;ENT;annotation error - entity is (in) heading;annotation error;
SP1350_515_526;ENT […]: negatief;missing variation;uncommon negation;negatief
SP1354_95_100;ENT niet;missing direction;other;niet
SP1358_45_64;Betreft Neu [O] Geen aanwijzingen ENT;sentence splitting;punctuation;
SP1364_13_24;vrdacht [sic] voor ENT gevonden;speculation;speculation;
SP1375_11_19;ENT;annotation error - entity is (in) heading;annotation error;
SP1403_471_476;ENT;annotation error - entity is (in) heading;annotation error;
SP1403_660_668;pleiten tegen de ENT;missing trigger;uncommon negation;pleiten tegen
SP1410_34_39;ENT niet;missing direction;other;niet
SP1413_339_346;ENT-;missing trigger;minus;-
SP1428_48_57;besloten te stoppen met de ENT;wrong modality ;wrong modality;
SP1429_554_563;ENT:-;missing trigger;minus;-
SP1429_566_571;ENT:-;missing trigger;minus;-
SP1429_943_950;ENT-;missing trigger;minus;-
SP1429_952_958;ENT-;missing trigger;minus;-
SP1429_960_966;ENT-;missing trigger;minus;-
SP1460_106_114;ENT;annotation error - entity is (in) heading;annotation error;
SP1460_271_279;ENT;annotation error - entity is (in) heading;annotation error;
SP1462_210_220;ENT […]: negatief;missing variation;uncommon negation;negatief
SP1483_46_55;Stoppen - ENT;wrong modality;wrong modality;
SP1486_95_104;ENT (kinkhoest) IgG as 7 (negatief);missing variation;uncommon negation;negatief
SP1486_106_115;B.pertussis (ENT) IgG as 7 (negatief);missing variation;uncommon negation;negatief
SP1486_147_156;ENT (kinkhoest) IgG as 3 (negatief);missing variation;uncommon negation;negatief
SP1486_158_167;B.pertussis (ENT) IgG as 3 (negatief);missing variation;uncommon negation;negatief
SP1519_387_407;niemand is bekend met ENT;missing variation;uncommon negation;bekend
SP1522_199_210;Onbelaste voorgeschiedenis voor ENT;wrong modality;wrong modality;
SP1523_240_251;ENT: geen;missing direction;other;geen
SP1548_0_5;ENT.;annotation error - no negation present;annotation error;
SP1627_469_475;ENT: geen;missing direction;other;geen
SP1651_13_18;ENT;annotation error - entity is (in) heading;annotation error;
SP1651_193_201;pleiten tegen de ENT;missing trigger;uncommon negation;pleiten tegen
SP1654_412_423;ENT: Negatief;missing variation;uncommon negation;negatief
SP1697_140_148;ENT neg;missing variation;uncommon negation;negatief
SP1784_114_122;Zonder anwyzin gen [sic] voor […] ENT;missing variation;uncommon negation;aanwijzingen
SP1809_85_93;ENT: geen;missing direction;other;geen
SP1834_0_9;ENT niet waarschijnlijk;speculation;speculation;
SP1856_155_164;ENT negatief;missing variation;uncommon negation;negatief
SP1857_92_101;Geen aanwijzing voor recent traum. ENT;sentence splitting;punctuation;
SP1880_721_732;In de familie anmanese [sic] was geen sprake van ENT;sentence splitting;punctuation;
SP1893_686_702;ENT: nee;missing trigger;uncommon negation;nee
SP1893_720_727;ENT: nee;missing trigger;uncommon negation;nee
SP1893_761_777;ENT: nee;missing trigger;uncommon negation;nee
SP1893_804_817;ENT: nee;missing trigger;uncommon negation;nee
SP1894_8_13;ENT:;annotation error - entity is (in) heading;annotation error;
SP1901_41_52;ENT […] negatief;missing variation;uncommon negation;negatief
SP1914_340_353;Onvoldoende aanwijzingen nu voor ENT;speculation;speculation;
SP1914_429_442;Onvoldoende aanwijzingen nu voor ENT;speculation;speculation;
SP1962_8_16;ENT -;missing trigger;minus;-
SP1989_456_461;ENT vrij;missing variation;uncommon negation;vrij
SP2074_801_809;ENT: geen;missing direction;other;geen
